bank_name,city,item_name,category,quantity,unit,received_date,shelf_life_days,expiration_date,days_left,avg_daily_demand,supply_status
Feeding San Diego,San Diego,Broccoli,produce,240,lbs,2026-03-07,7,2026-03-14,1,73,surplus
Yolo Food Bank,Woodland,Canned soup,canned,130,cans,2026-03-05,540,2027-08-27,532,62,balanced
Second Harvest of Silicon Valley,San Jose,Broccoli,produce,341,lbs,2026-02-28,7,2026-03-07,-6,120,balanced
San Francisco-Marin Food Bank,San Francisco,Carrots fresh,produce,304,lbs,2026-03-01,21,2026-03-22,9,29,surplus
Second Harvest of Silicon Valley,San Jose,Butter,dairy,355,packs,2026-03-02,60,2026-05-01,49,80,surplus
Central California Food Bank,Fresno,Frozen berries,protein,26,bags,2026-02-16,365,2027-02-16,340,81,shortage
Sacramento Food Bank & Family Services,Sacramento,Canned peas,canned,52,cans,2026-03-13,730,2028-03-12,730,112,shortage
Alameda County Community Food Bank,Oakland,Bananas,produce,271,lbs,2026-03-09,7,2026-03-16,3,78,surplus
Los Angeles Regional Food Bank,Los Angeles,Rice 5lb bag,dry,357,bags,2026-02-21,730,2028-02-21,710,93,surplus
Los Angeles Regional Food Bank,Los Angeles,Butter,dairy,18,packs,2026-02-27,60,2026-04-28,46,65,shortage
Second Harvest of Silicon Valley,San Jose,Cheese blocks,dairy,377,blocks,2026-03-13,30,2026-04-12,30,98,surplus
Los Angeles Regional Food Bank,Los Angeles,Canned black beans,canned,184,cans,2026-02-18,730,2028-02-18,707,57,surplus
San Francisco-Marin Food Bank,San Francisco,Canned corn,canned,394,cans,2026-02-18,730,2028-02-18,707,62,surplus
San Francisco-Marin Food Bank,San Francisco,Milk gallons,dairy,215,gallons,2026-03-10,10,2026-03-20,7,104,balanced
Alameda County Community Food Bank,Oakland,Lentils,dry,60,bags,2026-02-18,730,2028-02-18,707,74,shortage
Yolo Food Bank,Woodland,Lettuce,produce,229,heads,2026-03-10,10,2026-03-20,7,43,surplus
San Francisco-Marin Food Bank,San Francisco,Lettuce,produce,248,heads,2026-02-27,10,2026-03-09,-4,91,balanced
Feeding San Diego,San Diego,Brown rice,dry,285,bags,2026-02-19,365,2027-02-19,343,27,surplus
Alameda County Community Food Bank,Oakland,Peanut butter,dry,55,jars,2026-03-01,365,2027-03-01,353,82,shortage
Los Angeles Regional Food Bank,Los Angeles,Canned chickpeas,canned,103,cans,2026-02-25,730,2028-02-25,714,114,shortage
Feeding San Diego,San Diego,Macaroni,dry,169,boxes,2026-03-08,730,2028-03-07,725,96,balanced
Los Angeles Regional Food Bank,Los Angeles,Apples,produce,256,lbs,2026-03-06,21,2026-03-27,14,101,balanced
Central California Food Bank,Fresno,Milk gallons,dairy,62,gallons,2026-02-22,10,2026-03-04,-9,26,balanced
Second Harvest Food Bank of Orange County,Irvine,Canned black beans,canned,285,cans,2026-03-02,730,2028-03-01,719,51,surplus
Alameda County Community Food Bank,Oakland,Brown rice,dry,390,bags,2026-03-12,365,2027-03-12,364,90,surplus
Food Bank of Contra Costa and Solano,Concord,Tomatoes,produce,390,lbs,2026-02-23,10,2026-03-05,-8,117,surplus
Los Angeles Regional Food Bank,Los Angeles,Canned salmon,canned,389,cans,2026-03-08,730,2028-03-07,725,118,surplus
Los Angeles Regional Food Bank,Los Angeles,Milk gallons,dairy,371,gallons,2026-03-12,10,2026-03-22,9,48,surplus
Yolo Food Bank,Woodland,Peanut butter,dry,42,jars,2026-03-12,365,2027-03-12,364,66,shortage
Los Angeles Regional Food Bank,Los Angeles,Cheese blocks,dairy,216,blocks,2026-02-26,30,2026-03-28,15,105,balanced
Feeding San Diego,San Diego,Potatoes,produce,372,lbs,2026-03-01,30,2026-03-31,18,71,surplus
Sacramento Food Bank & Family Services,Sacramento,Ground turkey frozen,protein,31,packs,2026-02-25,180,2026-08-24,164,85,shortage
Sacramento Food Bank & Family Services,Sacramento,Yogurt cups,dairy,102,cups,2026-02-22,21,2026-03-15,2,71,balanced
Feeding San Diego,San Diego,Peanut butter,dry,350,jars,2026-03-08,365,2027-03-08,360,41,surplus
Alameda County Community Food Bank,Oakland,Potatoes,produce,382,lbs,2026-03-02,30,2026-04-01,19,91,surplus
San Francisco-Marin Food Bank,San Francisco,Frozen berries,protein,227,bags,2026-03-09,365,2027-03-09,361,33,surplus
Feeding San Diego,San Diego,Canned black beans,canned,352,cans,2026-02-23,730,2028-02-23,712,35,surplus
Central California Food Bank,Fresno,Butter,dairy,182,packs,2026-02-24,60,2026-04-25,43,32,surplus
Los Angeles Regional Food Bank,Los Angeles,Egg cartons,dairy,244,cartons,2026-03-08,21,2026-03-29,16,43,surplus
Yolo Food Bank,Woodland,Canned peas,canned,348,cans,2026-02-22,730,2028-02-22,711,86,surplus
Second Harvest Food Bank of Orange County,Irvine,Peanut butter,dry,247,jars,2026-03-13,365,2027-03-13,365,97,balanced
Los Angeles Regional Food Bank,Los Angeles,Spinach,produce,400,bags,2026-02-19,7,2026-02-26,-15,103,surplus
Alameda County Community Food Bank,Oakland,Cereal,dry,370,boxes,2026-03-11,180,2026-09-07,178,104,surplus
Sacramento Food Bank & Family Services,Sacramento,Apples,produce,94,lbs,2026-02-25,21,2026-03-18,5,34,balanced
Second Harvest Food Bank of Orange County,Irvine,Butter,dairy,207,packs,2026-03-08,60,2026-05-07,55,67,surplus
Sacramento Food Bank & Family Services,Sacramento,Potatoes,produce,249,lbs,2026-02-19,30,2026-03-21,8,60,surplus
Second Harvest of Silicon Valley,San Jose,Oranges,produce,372,lbs,2026-02-18,14,2026-03-04,-9,38,surplus
Los Angeles Regional Food Bank,Los Angeles,Bell peppers,produce,60,lbs,2026-02-19,10,2026-03-01,-12,53,balanced
Los Angeles Regional Food Bank,Los Angeles,Canned tuna,canned,365,cans,2026-02-17,730,2028-02-17,706,92,surplus
Second Harvest of Silicon Valley,San Jose,Canned tuna,canned,329,cans,2026-03-11,730,2028-03-10,728,111,balanced
Alameda County Community Food Bank,Oakland,Onions,produce,37,lbs,2026-03-02,30,2026-04-01,19,97,shortage
Yolo Food Bank,Woodland,Butter,dairy,261,packs,2026-02-28,60,2026-04-29,47,73,surplus
Feeding San Diego,San Diego,Oranges,produce,205,lbs,2026-02-22,14,2026-03-08,-5,37,surplus
Sacramento Food Bank & Family Services,Sacramento,Potatoes,produce,348,lbs,2026-02-16,30,2026-03-18,5,116,balanced
Second Harvest Food Bank of Orange County,Irvine,Oranges,produce,27,lbs,2026-02-17,14,2026-03-03,-10,110,shortage
Yolo Food Bank,Woodland,Oatmeal,dry,309,boxes,2026-03-11,365,2027-03-11,363,32,surplus
Second Harvest of Silicon Valley,San Jose,Canned carrots,canned,114,cans,2026-02-27,730,2028-02-27,716,80,balanced
Second Harvest Food Bank of Orange County,Irvine,Canned carrots,canned,168,cans,2026-03-07,730,2028-03-06,724,105,balanced
Second Harvest of Silicon Valley,San Jose,Almond butter,dry,114,jars,2026-02-16,365,2027-02-16,340,106,balanced
Food Bank of Contra Costa and Solano,Concord,Chicken breast frozen,protein,154,packs,2026-02-28,180,2026-08-27,167,70,balanced
Yolo Food Bank,Woodland,Lentils,dry,312,bags,2026-02-19,730,2028-02-19,708,65,surplus
San Francisco-Marin Food Bank,San Francisco,Spinach,produce,56,bags,2026-03-08,7,2026-03-15,2,67,shortage
Feeding San Diego,San Diego,Pasta,dry,95,boxes,2026-03-04,730,2028-03-03,721,22,surplus
Alameda County Community Food Bank,Oakland,Canned salmon,canned,155,cans,2026-02-28,730,2028-02-28,717,93,balanced
Second Harvest of Silicon Valley,San Jose,Canned soup,canned,213,cans,2026-02-25,540,2027-08-19,524,46,surplus
Second Harvest Food Bank of Orange County,Irvine,Broccoli,produce,100,lbs,2026-03-09,7,2026-03-16,3,47,balanced
Feeding San Diego,San Diego,Carrots fresh,produce,67,lbs,2026-03-01,21,2026-03-22,9,24,balanced
Food Bank of Contra Costa and Solano,Concord,Canned soup,canned,141,cans,2026-03-13,540,2027-09-04,540,20,surplus
Sacramento Food Bank & Family Services,Sacramento,Canned beans,canned,53,cans,2026-02-16,730,2028-02-16,705,108,shortage
Alameda County Community Food Bank,Oakland,Butter,dairy,183,packs,2026-03-04,60,2026-05-03,51,36,surplus
Feeding San Diego,San Diego,Spaghetti,dry,163,boxes,2026-03-04,730,2028-03-03,721,93,balanced
Food Bank of Contra Costa and Solano,Concord,Potatoes,produce,201,lbs,2026-03-12,30,2026-04-11,29,91,balanced
Second Harvest Food Bank of Orange County,Irvine,Canned tomatoes,canned,47,cans,2026-03-11,730,2028-03-10,728,56,shortage
Sacramento Food Bank & Family Services,Sacramento,Canned salmon,canned,175,cans,2026-03-04,730,2028-03-03,721,43,surplus
Second Harvest of Silicon Valley,San Jose,Spaghetti,dry,126,boxes,2026-02-21,730,2028-02-21,710,105,balanced
Yolo Food Bank,Woodland,Bananas,produce,161,lbs,2026-02-17,7,2026-02-24,-17,43,surplus
Food Bank of Contra Costa and Solano,Concord,Macaroni,dry,109,boxes,2026-02-18,730,2028-02-18,707,27,surplus
Los Angeles Regional Food Bank,Los Angeles,Canned carrots,canned,35,cans,2026-03-08,730,2028-03-07,725,26,balanced
Sacramento Food Bank & Family Services,Sacramento,Brown rice,dry,379,bags,2026-03-07,365,2027-03-07,359,109,surplus
Food Bank of Contra Costa and Solano,Concord,Brown rice,dry,276,bags,2026-02-26,365,2027-02-26,350,94,balanced
Feeding San Diego,San Diego,Potatoes,produce,113,lbs,2026-02-17,30,2026-03-19,6,38,balanced
Los Angeles Regional Food Bank,Los Angeles,Milk gallons,dairy,177,gallons,2026-02-22,10,2026-03-04,-9,71,balanced
Sacramento Food Bank & Family Services,Sacramento,Spaghetti,dry,118,boxes,2026-03-10,730,2028-03-09,727,120,shortage
San Francisco-Marin Food Bank,San Francisco,Lettuce,produce,318,heads,2026-02-24,10,2026-03-06,-7,41,surplus
Second Harvest of Silicon Valley,San Jose,Oatmeal,dry,339,boxes,2026-03-07,365,2027-03-07,359,37,surplus
Food Bank of Contra Costa and Solano,Concord,Apples,produce,27,lbs,2026-03-13,21,2026-04-03,21,104,shortage
Alameda County Community Food Bank,Oakland,Canned soup,canned,84,cans,2026-03-01,540,2027-08-23,528,45,balanced
Second Harvest Food Bank of Orange County,Irvine,Oatmeal,dry,322,boxes,2026-03-01,365,2027-03-01,353,89,surplus
Yolo Food Bank,Woodland,Lettuce,produce,332,heads,2026-03-11,10,2026-03-21,8,25,surplus
San Francisco-Marin Food Bank,San Francisco,Canned green beans,canned,216,cans,2026-02-18,730,2028-02-18,707,98,balanced
San Francisco-Marin Food Bank,San Francisco,Avocados,produce,269,units,2026-03-11,7,2026-03-18,5,84,surplus
Food Bank of Contra Costa and Solano,Concord,Lettuce,produce,355,heads,2026-02-27,10,2026-03-09,-4,98,surplus
Los Angeles Regional Food Bank,Los Angeles,Onions,produce,210,lbs,2026-03-08,30,2026-04-07,25,78,balanced
Second Harvest Food Bank of Orange County,Irvine,Almond butter,dry,367,jars,2026-03-05,365,2027-03-05,357,93,surplus
Feeding San Diego,San Diego,Canned tomatoes,canned,303,cans,2026-02-18,730,2028-02-18,707,57,surplus
Alameda County Community Food Bank,Oakland,Canned peas,canned,88,cans,2026-02-20,730,2028-02-20,709,84,balanced
Los Angeles Regional Food Bank,Los Angeles,Peanut butter,dry,94,jars,2026-03-10,365,2027-03-10,362,49,balanced
Alameda County Community Food Bank,Oakland,Canned corn,canned,14,cans,2026-03-04,730,2028-03-03,721,45,shortage
Second Harvest Food Bank of Orange County,Irvine,Flour,dry,99,bags,2026-02-21,365,2027-02-21,345,66,balanced
Food Bank of Contra Costa and Solano,Concord,Flour,dry,68,bags,2026-03-08,365,2027-03-08,360,97,shortage
San Francisco-Marin Food Bank,San Francisco,Avocados,produce,263,units,2026-02-17,7,2026-02-24,-17,58,surplus
Central California Food Bank,Fresno,Flour,dry,69,bags,2026-02-25,365,2027-02-25,349,74,shortage
Central California Food Bank,Fresno,Brown rice,dry,205,bags,2026-02-17,365,2027-02-17,341,38,surplus
Central California Food Bank,Fresno,Sugar,dry,241,bags,2026-02-17,730,2028-02-17,706,52,surplus
Sacramento Food Bank & Family Services,Sacramento,Egg cartons,dairy,363,cartons,2026-03-04,21,2026-03-25,12,35,surplus
Second Harvest of Silicon Valley,San Jose,Sugar,dry,166,bags,2026-03-12,730,2028-03-11,729,74,balanced
Second Harvest Food Bank of Orange County,Irvine,Milk gallons,dairy,45,gallons,2026-02-26,10,2026-03-08,-5,66,shortage
Feeding San Diego,San Diego,Spaghetti,dry,123,boxes,2026-02-28,730,2028-02-28,717,30,surplus
Alameda County Community Food Bank,Oakland,Canned tomatoes,canned,183,cans,2026-03-04,730,2028-03-03,721,28,surplus
Central California Food Bank,Fresno,Butter,dairy,68,packs,2026-03-09,60,2026-05-08,56,89,shortage
Sacramento Food Bank & Family Services,Sacramento,Pasta,dry,193,boxes,2026-02-19,730,2028-02-19,708,117,balanced
Los Angeles Regional Food Bank,Los Angeles,Peanut butter,dry,208,jars,2026-03-13,365,2027-03-13,365,83,balanced
Sacramento Food Bank & Family Services,Sacramento,Pasta,dry,196,boxes,2026-03-05,730,2028-03-04,722,118,balanced
Sacramento Food Bank & Family Services,Sacramento,Peanut butter,dry,51,jars,2026-02-25,365,2027-02-25,349,30,balanced
Yolo Food Bank,Woodland,Canned soup,canned,190,cans,2026-03-03,540,2027-08-25,530,95,balanced
Yolo Food Bank,Woodland,Canned beans,canned,121,cans,2026-03-12,730,2028-03-11,729,63,balanced
Feeding San Diego,San Diego,Cheese blocks,dairy,170,blocks,2026-02-21,30,2026-03-23,10,104,balanced
Sacramento Food Bank & Family Services,Sacramento,Flour,dry,277,bags,2026-03-09,365,2027-03-09,361,35,surplus
Food Bank of Contra Costa and Solano,Concord,Avocados,produce,102,units,2026-02-22,7,2026-03-01,-12,34,balanced
Central California Food Bank,Fresno,Brown rice,dry,288,bags,2026-02-28,365,2027-02-28,352,52,surplus
Yolo Food Bank,Woodland,Potatoes,produce,349,lbs,2026-02-16,30,2026-03-18,5,73,surplus
Second Harvest of Silicon Valley,San Jose,Butter,dairy,345,packs,2026-03-07,60,2026-05-06,54,27,surplus
Yolo Food Bank,Woodland,Canned peas,canned,34,cans,2026-02-28,730,2028-02-28,717,99,shortage
Food Bank of Contra Costa and Solano,Concord,Peanut butter,dry,189,jars,2026-02-19,365,2027-02-19,343,107,balanced
Alameda County Community Food Bank,Oakland,Cereal,dry,288,boxes,2026-03-09,180,2026-09-05,176,83,surplus
Food Bank of Contra Costa and Solano,Concord,Frozen berries,protein,126,bags,2026-02-18,365,2027-02-18,342,64,balanced
Yolo Food Bank,Woodland,Brown rice,dry,202,bags,2026-03-04,365,2027-03-04,356,67,surplus
Alameda County Community Food Bank,Oakland,Macaroni,dry,287,boxes,2026-03-01,730,2028-02-29,718,100,balanced
San Francisco-Marin Food Bank,San Francisco,Canned beans,canned,156,cans,2026-02-27,730,2028-02-27,716,80,balanced
Second Harvest of Silicon Valley,San Jose,Cheese blocks,dairy,193,blocks,2026-03-07,30,2026-04-06,24,118,balanced
Sacramento Food Bank & Family Services,Sacramento,Canned tuna,canned,19,cans,2026-03-07,730,2028-03-06,724,25,shortage
Yolo Food Bank,Woodland,Avocados,produce,312,units,2026-03-11,7,2026-03-18,5,71,surplus
Feeding San Diego,San Diego,Bananas,produce,307,lbs,2026-02-25,7,2026-03-04,-9,70,surplus
Sacramento Food Bank & Family Services,Sacramento,Tomatoes,produce,77,lbs,2026-02-28,10,2026-03-10,-3,114,shortage
Second Harvest Food Bank of Orange County,Irvine,Canned tuna,canned,89,cans,2026-03-12,730,2028-03-11,729,97,shortage
Food Bank of Contra Costa and Solano,Concord,Almond butter,dry,85,jars,2026-03-01,365,2027-03-01,353,22,surplus
Los Angeles Regional Food Bank,Los Angeles,Bananas,produce,15,lbs,2026-02-23,7,2026-03-02,-11,40,shortage
San Francisco-Marin Food Bank,San Francisco,Canned black beans,canned,46,cans,2026-02-16,730,2028-02-16,705,104,shortage
Food Bank of Contra Costa and Solano,Concord,Carrots fresh,produce,338,lbs,2026-02-24,21,2026-03-17,4,118,balanced
Alameda County Community Food Bank,Oakland,Oatmeal,dry,212,boxes,2026-02-23,365,2027-02-23,347,105,balanced
Second Harvest of Silicon Valley,San Jose,Canned black beans,canned,295,cans,2026-03-09,730,2028-03-08,726,80,surplus
San Francisco-Marin Food Bank,San Francisco,Flour,dry,351,bags,2026-02-26,365,2027-02-26,350,80,surplus
Food Bank of Contra Costa and Solano,Concord,Egg cartons,dairy,91,cartons,2026-03-06,21,2026-03-27,14,75,balanced
Second Harvest Food Bank of Orange County,Irvine,Canned carrots,canned,371,cans,2026-03-02,730,2028-03-01,719,41,surplus
Central California Food Bank,Fresno,Apples,produce,134,lbs,2026-02-20,21,2026-03-13,0,105,balanced
Feeding San Diego,San Diego,Oatmeal,dry,264,boxes,2026-03-06,365,2027-03-06,358,72,surplus
Sacramento Food Bank & Family Services,Sacramento,Canned corn,canned,146,cans,2026-02-17,730,2028-02-17,706,72,balanced
Alameda County Community Food Bank,Oakland,Bananas,produce,119,lbs,2026-03-02,7,2026-03-09,-4,69,balanced
Second Harvest of Silicon Valley,San Jose,Canned carrots,canned,354,cans,2026-02-27,730,2028-02-27,716,108,surplus
Central California Food Bank,Fresno,Canned tomatoes,canned,59,cans,2026-03-13,730,2028-03-12,730,104,shortage
Alameda County Community Food Bank,Oakland,Pasta,dry,127,boxes,2026-03-12,730,2028-03-11,729,92,balanced
Second Harvest Food Bank of Orange County,Irvine,Canned tuna,canned,152,cans,2026-03-03,730,2028-03-02,720,64,balanced
Yolo Food Bank,Woodland,Oranges,produce,299,lbs,2026-02-18,14,2026-03-04,-9,93,surplus
Second Harvest Food Bank of Orange County,Irvine,Sugar,dry,24,bags,2026-02-22,730,2028-02-22,711,105,shortage
San Francisco-Marin Food Bank,San Francisco,Avocados,produce,84,units,2026-02-26,7,2026-03-05,-8,52,balanced
Second Harvest of Silicon Valley,San Jose,Apples,produce,313,lbs,2026-03-09,21,2026-03-30,17,96,surplus
Feeding San Diego,San Diego,Macaroni,dry,163,boxes,2026-03-01,730,2028-02-29,718,48,surplus
Yolo Food Bank,Woodland,Yogurt cups,dairy,175,cups,2026-02-26,21,2026-03-19,6,58,surplus
Yolo Food Bank,Woodland,Tomatoes,produce,333,lbs,2026-03-03,10,2026-03-13,0,31,surplus
Second Harvest of Silicon Valley,San Jose,Cheese blocks,dairy,172,blocks,2026-03-05,30,2026-04-04,22,104,balanced
Second Harvest of Silicon Valley,San Jose,Chicken breast frozen,protein,216,packs,2026-03-13,180,2026-09-09,180,35,surplus
Los Angeles Regional Food Bank,Los Angeles,Canned corn,canned,48,cans,2026-02-18,730,2028-02-18,707,83,shortage
Second Harvest Food Bank of Orange County,Irvine,Bananas,produce,331,lbs,2026-02-25,7,2026-03-04,-9,85,surplus
Sacramento Food Bank & Family Services,Sacramento,Peanut butter,dry,291,jars,2026-03-11,365,2027-03-11,363,91,surplus
Feeding San Diego,San Diego,Flour,dry,17,bags,2026-03-02,365,2027-03-02,354,60,shortage
San Francisco-Marin Food Bank,San Francisco,Chicken breast frozen,protein,14,packs,2026-02-26,180,2026-08-25,165,44,shortage
Yolo Food Bank,Woodland,Frozen berries,protein,148,bags,2026-03-02,365,2027-03-02,354,85,balanced
Second Harvest of Silicon Valley,San Jose,Canned tuna,canned,346,cans,2026-02-26,730,2028-02-26,715,75,surplus
Second Harvest Food Bank of Orange County,Irvine,Canned tuna,canned,175,cans,2026-02-25,730,2028-02-25,714,94,balanced
Central California Food Bank,Fresno,Potatoes,produce,111,lbs,2026-03-10,30,2026-04-09,27,42,balanced
Food Bank of Contra Costa and Solano,Concord,Bananas,produce,39,lbs,2026-03-09,7,2026-03-16,3,30,balanced
San Francisco-Marin Food Bank,San Francisco,Frozen berries,protein,336,bags,2026-03-08,365,2027-03-08,360,110,surplus
Second Harvest of Silicon Valley,San Jose,Yogurt cups,dairy,30,cups,2026-02-26,21,2026-03-19,6,24,balanced
Alameda County Community Food Bank,Oakland,Canned beans,canned,114,cans,2026-02-18,730,2028-02-18,707,90,balanced
Yolo Food Bank,Woodland,Oranges,produce,123,lbs,2026-03-05,14,2026-03-19,6,46,balanced
